Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN00051,Female,No,1,Graduate,No,2184,686,96,360,1.0,Semiurban,N
LN00052,Male,Yes,0,Graduate,No,4404,3903,119,360,1.0,Semiurban,Y
LN00053,Female,Yes,2,Graduate,No,7291,2042,99,360,1.0,Urban,Y
LN00054,Male,Yes,0,Not Graduate,No,7321,0,169,360,1.0,Semiurban,Y
LN00055,Female,Yes,1,Graduate,No,5747,0,124,360,1.0,Rural,Y
LN00056,Female,Yes,0,Not Graduate,No,4409,577,121,360,1.0,Semiurban,Y
LN00057,Male,Yes,1,Graduate,Yes,6117,2717,185,360,1.0,Semiurban,Y
LN00058,Male,Yes,0,Graduate,No,3665,3228,233,360,1.0,Urban,N
LN00059,Male,Yes,0,Graduate,No,4401,1772,145,360,0.0,Semiurban,N
LN00060,Male,No,0,Graduate,No,3514,1620,71,180,1.0,Semiurban,Y
LN00061,Male,No,0,Graduate,No,6816,1001,152,360,1.0,Urban,Y
LN00062,Male,Yes,0,Graduate,No,6560,1467,159,360,1.0,Urban,Y
LN00063,Male,Yes,0,Graduate,No,4930,3323,191,360,0.0,Rural,N
LN00064,Male,No,0,Graduate,Yes,8462,980,133,60,1.0,Urban,Y
LN00065,Female,Yes,1,Graduate,No,5825,2488,194,180,1.0,Urban,Y
LN00066,Female,Yes,0,Graduate,No,5712,707,186,360,1.0,Semiurban,Y
LN00067,Male,Yes,1,Not Graduate,No,5498,3019,135,360,1.0,Urban,Y
LN00068,Female,No,0,Not Graduate,No,2475,2368,191,360,1.0,Urban,N
LN00069,Female,Yes,3+,Graduate,No,3211,2958,196,360,1.0,Urban,Y
LN00070,Female,Yes,3+,Graduate,No,4890,4323,95,120,1.0,Rural,Y
LN00071,Female,No,0,Graduate,No,4907,0,198,360,1.0,Urban,Y
LN00072,Male,Yes,1,Not Graduate,No,6179,2630,144,180,1.0,Semiurban,Y
LN00073,Female,Yes,0,Graduate,No,3664,2203,137,360,1.0,Rural,Y
LN00074,Male,No,3+,Not Graduate,No,5141,2171,144,360,1.0,Semiurban,Y
LN00075,Female,Yes,0,Graduate,Yes,5177,1860,212,180,1.0,Urban,N
LN00076,Female,Yes,0,Not Graduate,Yes,5256,1859,211,360,1.0,Rural,N
LN00077,Female,Yes,0,Graduate,No,5032,2004,173,360,1.0,Urban,Y
LN00078,Male,Yes,0,Graduate,No,2192,2858,163,180,0.0,Rural,N
LN00079,Female,Yes,0,Graduate,No,477,2739,144,60,1.0,Semiurban,N
LN00080,Male,Yes,1,Not Graduate,No,3116,1462,284,360,1.0,Rural,N
LN00081,Female,Yes,0,Not Graduate,No,3937,1218,115,360,1.0,Urban,Y
LN00082,Male,No,0,Graduate,No,2643,1530,127,360,1.0,Urban,N
LN00083,Female,Yes,0,Graduate,No,4888,880,165,360,0.0,Semiurban,N
LN00084,Male,Yes,0,Graduate,No,7180,4170,104,360,0.0,Semiurban,N
LN00085,Male,Yes,0,Graduate,No,6452,0,202,180,1.0,Semiurban,N
LN00086,Female,No,2,Not Graduate,No,5932,2624,76,60,1.0,Urban,Y
LN00087,Male,Yes,0,Graduate,No,6970,2615,114,180,1.0,Urban,Y
LN00088,Female,Yes,0,Graduate,No,3150,704,129,360,1.0,Semiurban,Y
LN00089,Female,Yes,0,Graduate,No,4086,1944,99,360,1.0,Semiurban,Y
LN00090,Female,Yes,0,Graduate,No,6229,3394,202,360,1.0,Rural,N
LN00091,Female,Yes,1,Not Graduate,Yes,4050,1004,84,360,1.0,Semiurban,Y
LN00092,Female,No,0,Graduate,No,4160,3467,101,360,1.0,Semiurban,Y
LN00093,Female,Yes,0,Graduate,No,8724,3177,116,360,1.0,Urban,Y
LN00094,Female,Yes,0,Graduate,No,5190,435,192,360,1.0,Urban,Y
LN00095,Female,Yes,0,Graduate,No,8527,0,222,360,1.0,Rural,N
LN00096,Female,No,0,Graduate,No,1353,1748,176,360,1.0,Semiurban,N
LN00097,Female,Yes,0,Not Graduate,No,3738,0,84,360,1.0,Semiurban,Y
LN00098,Female,Yes,1,Graduate,No,5817,0,118,360,1.0,Urban,Y
LN00099,Male,Yes,0,Not Graduate,No,5187,765,228,360,1.0,Semiurban,N
LN00100,Male,Yes,0,Graduate,No,888,4761,151,360,1.0,Rural,N
LN00101,Female,Yes,0,Not Graduate,No,4540,829,77,360,1.0,Urban,Y
LN00102,Female,Yes,0,Graduate,No,9946,2069,259,360,1.0,Semiurban,N
LN00103,Female,Yes,0,Graduate,No,5493,2549,121,360,1.0,Rural,Y
LN00104,Female,Yes,2,Graduate,No,6208,1438,146,360,1.0,Semiurban,Y
LN00105,Female,Yes,2,Not Graduate,No,3712,999,115,360,1.0,Semiurban,Y
LN00106,Female,Yes,0,Graduate,No,5486,3343,102,360,1.0,Rural,Y
LN00107,Female,Yes,0,Graduate,No,4975,1559,214,360,1.0,Semiurban,N
LN00108,Female,No,0,Not Graduate,No,7237,1362,159,360,1.0,Semiurban,Y
LN00109,Male,No,0,Graduate,Yes,7174,2696,165,360,0.0,Urban,N
LN00110,Female,No,1,Graduate,No,5815,0,86,360,1.0,Rural,Y
LN00111,Male,No,1,Graduate,No,5141,0,135,360,0.0,Semiurban,N
LN00112,Female,Yes,3+,Graduate,No,1641,0,118,360,1.0,Semiurban,N
LN00113,Female,No,0,Graduate,No,1572,2352,108,360,1.0,Urban,N
LN00114,Male,Yes,0,Graduate,No,5163,1254,173,360,1.0,Semiurban,Y
LN00115,Female,Yes,2,Graduate,No,6749,2739,133,360,0.0,Semiurban,N
LN00116,Male,Yes,1,Graduate,No,7663,1576,184,360,1.0,Urban,Y
LN00117,Female,Yes,2,Graduate,No,3220,0,186,360,0.0,Urban,N
LN00118,Female,No,0,Graduate,No,1981,966,128,360,1.0,Rural,N
LN00119,Male,Yes,0,Graduate,Yes,6865,2845,172,360,1.0,Rural,Y
LN00120,Female,Yes,0,Graduate,No,3370,1106,126,360,1.0,Urban,Y
LN00121,Male,No,0,Not Graduate,No,1845,3280,110,360,1.0,Urban,N
LN00122,Female,Yes,0,Not Graduate,No,4012,819,96,360,1.0,Semiurban,Y
LN00123,Male,Yes,1,Not Graduate,No,3977,2579,154,360,0.0,Urban,N
LN00124,Male,No,0,Graduate,No,7640,0,112,360,1.0,Urban,Y
LN00125,Female,Yes,0,Not Graduate,No,6731,1160,218,360,1.0,Rural,N
LN00126,Female,Yes,1,Not Graduate,No,3525,919,231,360,1.0,Urban,N
LN00127,Male,Yes,0,Graduate,No,7795,0,173,180,1.0,Urban,Y
LN00128,Female,Yes,2,Graduate,No,5250,3167,162,360,0.0,Rural,N
LN00129,Female,No,0,Graduate,Yes,7121,539,150,360,1.0,Semiurban,Y
LN00130,Female,Yes,0,Graduate,No,7654,385,268,360,1.0,Semiurban,N
LN00131,Male,Yes,3+,Not Graduate,No,4474,3451,248,360,1.0,Semiurban,N
LN00132,Male,Yes,3+,Graduate,No,6142,1742,139,360,1.0,Rural,Y
LN00133,Male,Yes,0,Graduate,No,4186,2669,140,180,1.0,Urban,Y
LN00134,Male,No,1,Graduate,No,6860,0,166,360,1.0,Rural,Y
LN00135,Male,Yes,0,Graduate,No,5180,302,91,360,0.0,Semiurban,N
LN00136,Male,Yes,0,Graduate,No,6920,4629,60,120,1.0,Urban,Y
LN00137,Male,Yes,0,Not Graduate,No,8049,2781,83,360,1.0,Semiurban,Y
LN00138,Male,Yes,0,Graduate,Yes,6094,0,134,360,1.0,Urban,Y
LN00139,Male,No,2,Not Graduate,No,4813,1837,102,360,1.0,Urban,Y
LN00140,Female,Yes,1,Graduate,Yes,4846,6,222,360,1.0,Semiurban,N
LN00141,Male,Yes,3+,Graduate,No,-914,3590,76,360,1.0,Rural,N
LN00142,Female,Yes,1,Graduate,Yes,3574,0,83,360,1.0,Urban,Y
LN00143,Female,No,0,Not Graduate,No,6865,1912,58,360,0.0,Semiurban,N
LN00144,Female,Yes,1,Graduate,No,6939,1890,117,360,1.0,Urban,Y
LN00145,Male,No,3+,Graduate,No,3530,0,130,360,1.0,Urban,Y
LN00146,Male,Yes,1,Graduate,No,5329,1090,146,360,1.0,Semiurban,Y
LN00147,Male,No,1,Not Graduate,No,4621,2063,148,360,1.0,Rural,Y
LN00148,Male,Yes,3+,Graduate,No,6379,0,118,180,1.0,Semiurban,Y
LN00149,Female,Yes,0,Graduate,No,9417,0,97,360,1.0,Semiurban,Y
LN00150,Male,Yes,1,Graduate,No,6416,1267,170,180,1.0,Rural,Y
LN00151,Male,Yes,2,Graduate,No,3659,250,105,360,1.0,Urban,Y
LN00152,Male,No,3+,Not Graduate,No,4843,805,189,360,1.0,Urban,Y
LN00153,Male,No,0,Not Graduate,No,7803,1469,75,360,0.0,Urban,N
LN00154,Male,Yes,0,Graduate,No,2182,134,112,360,1.0,Semiurban,N
LN00155,Female,Yes,1,Not Graduate,No,3769,1460,252,120,1.0,Rural,N
LN00156,Male,Yes,0,Graduate,No,6419,1946,258,360,1.0,Rural,N
LN00157,Female,No,1,Graduate,No,7588,2668,81,360,1.0,Semiurban,Y
LN00158,Male,Yes,0,Not Graduate,No,6217,0,210,360,1.0,Urban,N
LN00159,Female,Yes,0,Graduate,No,3786,557,230,360,1.0,Urban,N
LN00160,Male,Yes,0,Graduate,No,6073,2382,203,360,1.0,Semiurban,N
LN00161,Male,Yes,0,Graduate,No,5828,0,146,360,1.0,Semiurban,Y
LN00162,Female,Yes,0,Graduate,No,5701,1659,53,180,1.0,Semiurban,Y
LN00163,Female,Yes,0,Graduate,No,4805,1542,154,360,1.0,Urban,Y
LN00164,Female,Yes,0,Graduate,No,5105,0,170,120,1.0,Urban,Y
LN00165,Male,No,0,Not Graduate,No,3185,758,161,360,1.0,Urban,Y
LN00166,Female,Yes,0,Graduate,No,9960,1996,173,120,1.0,Semiurban,Y
LN00167,Male,Yes,0,Graduate,No,5313,1182,109,360,1.0,Semiurban,Y
LN00168,Male,Yes,0,Not Graduate,No,6097,788,125,180,0.0,Semiurban,N
LN00169,Female,No,1,Graduate,No,4564,1734,50,360,0.0,Rural,N
LN00170,Female,Yes,0,Graduate,Yes,6690,2983,194,360,1.0,Semiurban,Y
LN00171,Male,Yes,0,Graduate,No,2403,2306,105,60,1.0,Urban,N
LN00172,Male,Yes,1,Graduate,No,1508,366,137,120,1.0,Semiurban,N
LN00173,Female,Yes,0,Graduate,No,4939,0,162,360,1.0,Semiurban,Y
LN00174,Female,Yes,3+,Graduate,No,9108,2279,121,360,1.0,Semiurban,Y
LN00175,Female,No,1,Not Graduate,No,7416,0,96,360,1.0,Semiurban,Y
LN00176,Male,No,0,Not Graduate,No,3383,707,162,360,1.0,Semiurban,Y
LN00177,Male,Yes,0,Not Graduate,No,6032,1801,60,360,0.0,Semiurban,N
LN00178,Male,Yes,0,Graduate,No,3728,3219,188,180,1.0,Urban,Y
LN00179,Male,No,0,Graduate,No,5852,3428,183,360,1.0,Semiurban,Y
LN00180,Male,Yes,0,Not Graduate,No,6008,1591,122,360,1.0,Urban,Y
LN00181,Male,No,0,Graduate,No,6852,735,125,360,1.0,Urban,Y
LN00182,Female,Yes,1,Graduate,No,1868,0,100,360,0.0,Urban,N
LN00183,Male,No,0,Graduate,No,2468,4437,130,360,1.0,Urban,N
LN00184,Male,No,0,Graduate,No,4848,1065,139,360,1.0,Rural,Y
LN00185,Male,No,1,Graduate,No,2935,2516,134,360,1.0,Rural,N
LN00186,Female,Yes,0,Graduate,No,2780,1795,222,360,1.0,Semiurban,N
LN00187,Male,Yes,0,Graduate,No,5543,756,62,120,1.0,Rural,Y
LN00188,Male,No,0,Graduate,No,3167,693,104,360,1.0,Urban,Y
LN00189,Female,Yes,0,Graduate,No,9515,0,186,360,1.0,Semiurban,Y
LN00190,Male,Yes,3+,Not Graduate,No,3933,3183,252,360,1.0,Urban,N
LN00191,Male,No,0,Not Graduate,No,4459,1319,106,360,1.0,Semiurban,Y
LN00192,Male,No,0,Graduate,No,5595,3644,200,360,1.0,Semiurban,Y
LN00193,Male,No,0,Graduate,No,1984,826,92,180,1.0,Urban,N
LN00194,Male,Yes,0,Graduate,No,6017,1052,130,60,1.0,Rural,Y
LN00195,Female,No,0,Graduate,No,5682,0,150,360,1.0,Semiurban,Y
LN00196,Female,No,2,Graduate,No,4301,1032,115,360,1.0,Semiurban,Y
LN00197,Female,Yes,3+,Graduate,No,5547,0,129,360,1.0,Urban,Y
LN00198,Male,Yes,0,Not Graduate,No,5856,2103,81,360,1.0,Semiurban,Y
LN00199,Male,Yes,0,Graduate,No,7870,1661,183,360,1.0,Urban,Y
LN00200,Male,Yes,1,Graduate,No,10000,3712,105,360,1.0,Urban,Y
LN00201,Female,No,0,Graduate,No,2876,0,116,360,1.0,Rural,N
LN00202,Male,Yes,0,Graduate,No,2405,3324,110,360,1.0,Urban,N
LN00203,Male,No,0,Graduate,No,5205,32,113,360,1.0,Semiurban,Y
LN00204,Female,No,0,Graduate,Yes,842,2016,157,360,1.0,Urban,N
LN00205,Male,Yes,0,Graduate,No,6298,0,153,360,1.0,Urban,Y
LN00206,Female,No,1,Graduate,No,5226,1804,275,360,1.0,Urban,N
LN00207,Female,Yes,1,Graduate,No,5734,0,137,360,1.0,Urban,Y
LN00208,Female,No,0,Graduate,No,4392,494,144,360,0.0,Urban,N
LN00209,Male,Yes,0,Graduate,No,5510,1659,216,360,0.0,Semiurban,N
LN00210,Male,No,3+,Graduate,No,5944,4133,161,120,1.0,Urban,Y
LN00211,Male,Yes,0,Graduate,No,5400,0,145,120,1.0,Urban,Y
LN00212,Male,Yes,2,Graduate,Yes,2309,1496,143,360,1.0,Urban,N
LN00213,Male,No,0,Graduate,No,5344,721,159,360,1.0,Urban,Y
LN00214,Male,Yes,0,Graduate,No,8707,0,198,360,1.0,Semiurban,Y
LN00215,Male,Yes,0,Graduate,No,5481,0,217,360,1.0,Rural,N
LN00216,Female,Yes,2,Graduate,No,5274,793,201,360,1.0,Rural,N
LN00217,Male,No,0,Graduate,No,8120,2200,173,360,1.0,Semiurban,Y
LN00218,Female,Yes,0,Graduate,No,3508,1631,160,360,0.0,Urban,N
LN00219,Male,Yes,0,Graduate,No,6779,0,251,360,1.0,Semiurban,N
LN00220,Male,Yes,2,Not Graduate,No,3939,0,126,360,0.0,Urban,N
LN00221,Male,Yes,3+,Not Graduate,No,7173,2126,184,360,1.0,Semiurban,Y
LN00222,Female,Yes,3+,Graduate,No,6596,1207,208,360,1.0,Urban,N
LN00223,Female,Yes,3+,Not Graduate,No,4175,3917,202,360,1.0,Semiurban,N
LN00224,Female,Yes,0,Graduate,No,4468,971,111,360,1.0,Rural,Y
LN00225,Female,Yes,0,Not Graduate,No,6955,3214,290,360,1.0,Urban,N
LN00226,Male,Yes,0,Graduate,No,1289,2315,233,360,1.0,Semiurban,N
LN00227,Female,No,0,Graduate,No,4116,2732,202,360,1.0,Semiurban,N
LN00228,Male,Yes,2,Graduate,No,6240,2148,99,360,1.0,Urban,Y
LN00229,Male,Yes,2,Graduate,No,4383,2181,198,360,1.0,Semiurban,Y
LN00230,Female,Yes,0,Graduate,No,5269,0,50,60,1.0,Urban,Y
LN00231,Female,Yes,1,Graduate,No,917,1144,138,120,1.0,Urban,N
LN00232,Female,No,3+,Graduate,No,3291,504,155,360,1.0,Semiurban,Y
LN00233,Female,Yes,0,Graduate,No,6358,3405,127,360,1.0,Urban,Y
LN00234,Female,Yes,0,Not Graduate,Yes,3497,0,229,360,1.0,Semiurban,N
LN00235,Female,Yes,0,Graduate,No,2395,1079,155,360,1.0,Semiurban,N
LN00236,Female,Yes,0,Graduate,No,7123,2701,101,360,1.0,Semiurban,Y
LN00237,Female,Yes,0,Graduate,No,6031,1951,187,360,0.0,Urban,N
LN00238,Male,Yes,0,Graduate,Yes,2822,1750,169,360,1.0,Semiurban,N
LN00239,Female,Yes,0,Graduate,No,5277,3163,62,360,1.0,Rural,Y
LN00240,Female,No,3+,Graduate,No,2888,1890,216,360,1.0,Semiurban,N
LN00241,Male,Yes,0,Not Graduate,No,4695,682,155,360,1.0,Urban,Y
LN00242,Female,Yes,0,Graduate,No,5351,0,199,360,1.0,Semiurban,Y
LN00243,Male,No,3+,Graduate,No,3383,2230,170,120,1.0,Semiurban,Y
LN00244,Male,No,0,Graduate,No,6484,344,133,360,1.0,Rural,Y
LN00245,Female,Yes,0,Graduate,No,6794,1138,171,360,0.0,Semiurban,N
LN00246,Male,No,2,Graduate,No,5527,3117,144,360,1.0,Semiurban,Y
LN00247,Male,No,0,Graduate,No,5827,1168,164,360,1.0,Urban,Y
LN00248,Male,Yes,1,Graduate,No,2094,833,180,360,1.0,Urban,N
LN00249,Male,Yes,0,Graduate,No,7724,1080,157,360,0.0,Semiurban,N
LN00250,Female,Yes,0,Graduate,No,4817,1121,173,360,1.0,Rural,Y
LN00251,Male,No,0,Not Graduate,Yes,3129,13,131,360,1.0,Urban,Y
LN00252,Female,Yes,0,Graduate,Yes,5291,4016,121,360,1.0,Urban,Y
LN00253,Male,Yes,1,Graduate,No,6490,676,188,360,1.0,Urban,Y
LN00254,Male,No,1,Graduate,Yes,6024,2676,222,360,1.0,Urban,N
LN00255,Male,Yes,3+,Not Graduate,No,2830,0,124,360,1.0,Rural,N
LN00256,Male,Yes,1,Graduate,No,6515,2324,165,360,1.0,Urban,Y
LN00257,Female,Yes,0,Not Graduate,No,4878,1754,79,360,1.0,Urban,Y
LN00258,Female,Yes,2,Graduate,No,6002,1537,240,360,1.0,Urban,N
LN00259,Male,No,1,Graduate,No,3396,1762,207,360,1.0,Semiurban,N
LN00260,Male,Yes,1,Graduate,No,7091,2123,120,360,1.0,Semiurban,Y
LN00261,Female,No,2,Graduate,No,5365,1159,132,360,0.0,Urban,N
LN00262,Male,Yes,0,Graduate,No,7377,1234,210,120,1.0,Urban,N
LN00263,Male,Yes,0,Graduate,No,1930,2366,158,360,1.0,Semiurban,N
LN00264,Male,No,1,Graduate,No,2197,0,181,360,1.0,Semiurban,N
LN00265,Female,Yes,0,Graduate,Yes,4519,0,100,360,1.0,Semiurban,Y
LN00266,Female,Yes,0,Graduate,No,7935,1768,178,360,1.0,Urban,Y
LN00267,Female,Yes,1,Graduate,No,8925,0,142,360,1.0,Rural,Y
LN00268,Male,No,0,Graduate,No,3223,0,164,360,0.0,Rural,N
LN00269,Male,Yes,0,Graduate,No,5106,4207,130,360,1.0,Urban,Y
LN00270,Female,Yes,0,Graduate,No,5310,3824,139,360,1.0,Semiurban,Y
LN00271,Female,Yes,1,Graduate,No,6436,643,155,360,1.0,Rural,Y
LN00272,Female,Yes,0,Graduate,No,6769,2998,120,180,0.0,Semiurban,N
LN00273,Female,No,1,Graduate,No,2771,3050,263,360,1.0,Urban,N
LN00274,Male,Yes,0,Graduate,Yes,5129,2206,97,60,1.0,Semiurban,Y
LN00275,Female,Yes,0,Not Graduate,Yes,982,1381,174,60,0.0,Semiurban,N
LN00276,Male,Yes,0,Graduate,No,6621,2439,165,360,1.0,Urban,Y
LN00277,Female,Yes,1,Graduate,No,4322,2696,188,360,1.0,Urban,Y
LN00278,Male,No,0,Graduate,No,2589,2463,50,360,1.0,Urban,N
LN00279,Female,Yes,3+,Graduate,Yes,5665,0,65,360,1.0,Urban,Y
LN00280,Female,No,3+,Graduate,No,4260,4549,122,360,1.0,Semiurban,Y
LN00281,Female,Yes,2,Graduate,No,7522,5104,196,360,1.0,Urban,Y
LN00282,Female,Yes,3+,Graduate,No,3214,0,136,360,1.0,Semiurban,Y
LN00283,Male,No,0,Graduate,No,9445,2266,134,360,1.0,Semiurban,Y
LN00284,Female,Yes,0,Graduate,No,6709,4568,150,360,1.0,Urban,Y
LN00285,Male,No,1,Graduate,No,7575,3003,107,360,1.0,Rural,Y
LN00286,Male,No,1,Graduate,No,2942,3019,173,180,1.0,Urban,N
LN00287,Male,Yes,2,Graduate,Yes,8576,0,159,360,1.0,Semiurban,Y
LN00288,Male,Yes,1,Graduate,Yes,2574,2686,175,360,1.0,Urban,N
LN00289,Female,No,3+,Graduate,No,4580,1858,225,360,1.0,Semiurban,N
LN00290,Male,Yes,0,Graduate,Yes,7609,2669,138,360,1.0,Semiurban,Y
LN00291,Male,Yes,2,Graduate,No,6013,0,155,360,1.0,Rural,Y
LN00292,Male,Yes,1,Graduate,No,2521,0,100,120,1.0,Semiurban,N
LN00293,Female,Yes,1,Graduate,Yes,7270,1286,87,360,1.0,Semiurban,Y
LN00294,Female,No,0,Graduate,No,5679,931,149,360,1.0,Urban,Y
LN00295,Female,Yes,1,Graduate,No,4167,1263,155,360,1.0,Urban,Y
LN00296,Female,Yes,3+,Not Graduate,No,1915,780,184,360,1.0,Urban,N
LN00297,Male,Yes,0,Graduate,No,5869,1198,178,360,1.0,Urban,Y
LN00298,Male,Yes,1,Graduate,No,4673,500,162,360,0.0,Semiurban,N
LN00299,Female,Yes,0,Graduate,No,5312,1427,234,360,1.0,Urban,N
LN00300,Male,No,3+,Graduate,No,1829,0,134,60,1.0,Urban,N
LN00301,Male,Yes,0,Graduate,No,4162,2271,140,360,1.0,Urban,Y
LN00302,Male,No,0,Not Graduate,No,5960,1890,164,360,1.0,Rural,Y
LN00303,Female,No,0,Graduate,No,8752,0,90,360,1.0,Urban,Y
LN00304,Female,Yes,1,Graduate,No,4589,3489,184,360,1.0,Semiurban,Y
LN00305,Male,Yes,0,Graduate,No,7886,259,153,180,1.0,Semiurban,Y
LN00306,Female,Yes,1,Graduate,No,6574,3283,154,360,1.0,Urban,Y
LN00307,Female,Yes,3+,Not Graduate,No,5467,1994,177,360,1.0,Urban,Y
LN00308,Female,No,2,Graduate,Yes,2975,3000,168,360,1.0,Urban,N
LN00309,Female,No,0,Graduate,No,3059,1764,170,360,1.0,Urban,Y
LN00310,Female,Yes,3+,Not Graduate,No,6235,2350,130,60,1.0,Rural,Y
LN00311,Male,Yes,1,Graduate,Yes,3947,2984,228,360,0.0,Semiurban,N
LN00312,Female,No,0,Graduate,No,3769,4360,76,360,1.0,Urban,Y
LN00313,Male,No,0,Not Graduate,No,4638,3111,115,360,1.0,Semiurban,Y
LN00314,Male,Yes,0,Graduate,No,4672,2172,122,60,0.0,Rural,N
LN00315,Female,Yes,2,Graduate,No,6801,0,113,360,1.0,Semiurban,Y
LN00316,Male,Yes,0,Graduate,No,3989,0,62,360,1.0,Semiurban,Y
LN00317,Male,No,0,Graduate,Yes,6602,1304,232,360,1.0,Semiurban,N
LN00318,Male,Yes,1,Graduate,Yes,5879,428,182,360,0.0,Semiurban,N
LN00319,Female,Yes,0,Graduate,Yes,1652,483,118,360,0.0,Semiurban,N
LN00320,Female,Yes,1,Graduate,No,5589,1376,184,360,0.0,Semiurban,N
LN00321,Male,Yes,1,Graduate,No,-335,2494,141,360,1.0,Semiurban,N
LN00322,Female,Yes,0,Graduate,No,3209,568,135,180,1.0,Urban,Y
LN00323,Female,No,2,Graduate,No,5926,2842,101,360,1.0,Semiurban,Y
LN00324,Female,Yes,0,Graduate,No,4978,1550,150,360,0.0,Semiurban,N
LN00325,Female,Yes,0,Graduate,Yes,1464,1556,118,360,1.0,Rural,N
LN00326,Male,Yes,1,Graduate,No,2761,4312,101,360,1.0,Rural,N
